[2016-04-12 11:49:10] test_Measure_WorkOrder.py [Test Case:test_Measure_WorkOrder] [line:35]INFO:~~~量体工单模块测试~~~
[2016-04-12 11:49:15] test_Measure_WorkOrder.py [Test Case:test_0add_WorkOrder] [line:137]INFO:开始执行测试...
[2016-04-12 11:49:19] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:705]INFO:等待页面刷新···
[2016-04-12 11:49:30] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:707]INFO:刷新完成！！！
[2016-04-12 11:49:37] test_Measure_WorkOrder.py [Test Case:test_0add_WorkOrder] [line:157]INFO:等待页面刷新···
[2016-04-12 11:49:37] test_Measure_WorkOrder.py [Test Case:test_0add_WorkOrder] [line:159]INFO:刷新完成！！！
[2016-04-12 11:50:00] test_Measure_WorkOrder.py [Test Case:tearDown] [line:714]INFO:该条用例执行完毕！！！
[2016-04-12 11:50:04] test_Measure_WorkOrder.py [Test Case:test_1look_WorkOrder] [line:275]INFO:开始执行测试...
[2016-04-12 11:50:09] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:705]INFO:等待页面刷新···
[2016-04-12 11:50:19] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:707]INFO:刷新完成！！！
[2016-04-12 11:50:32] test_Measure_WorkOrder.py [Test Case:tearDown] [line:714]INFO:该条用例执行完毕！！！
[2016-04-12 11:50:37] test_Measure_WorkOrder.py [Test Case:test_2search_ByWorkOrder] [line:323]INFO:开始执行测试...
[2016-04-12 11:50:41] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:705]INFO:等待页面刷新···
[2016-04-12 11:50:51] isspublic.py [Test Case:isRefreshed] [line:68]ERROR:当前界面未刷新
[2016-04-12 11:50:51] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:707]INFO:刷新完成！！！
[2016-04-12 11:51:05] test_Measure_WorkOrder.py [Test Case:tearDown] [line:714]INFO:该条用例执行完毕！！！
[2016-04-12 11:51:09] test_Measure_WorkOrder.py [Test Case:test_3search_ByAppointmentTime] [line:337]INFO:开始执行测试...
[2016-04-12 11:51:14] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:705]INFO:等待页面刷新···
[2016-04-12 11:51:25] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:707]INFO:刷新完成！！！
[2016-04-12 11:51:41] test_Measure_WorkOrder.py [Test Case:tearDown] [line:714]INFO:该条用例执行完毕！！！
[2016-04-12 11:51:45] test_Measure_WorkOrder.py [Test Case:test_4search_By_AppointmentStore] [line:395]INFO:开始执行测试
[2016-04-12 11:51:50] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:705]INFO:等待页面刷新···
[2016-04-12 11:52:00] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:707]INFO:刷新完成！！！
[2016-04-12 11:52:15] test_Measure_WorkOrder.py [Test Case:tearDown] [line:714]INFO:该条用例执行完毕！！！
[2016-04-12 11:52:20] test_Measure_WorkOrder.py [Test Case:test_5search_ByMeasureWay] [line:424]INFO:开始执行测试...
[2016-04-12 11:52:24] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:705]INFO:等待页面刷新···
[2016-04-12 11:52:34] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:707]INFO:刷新完成！！！
[2016-04-12 11:52:52] test_Measure_WorkOrder.py [Test Case:tearDown] [line:714]INFO:该条用例执行完毕！！！
[2016-04-12 11:52:57] test_Measure_WorkOrder.py [Test Case:test_6search_ByMeasureMaster] [line:452]INFO:开始执行测试...
[2016-04-12 11:53:01] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:705]INFO:等待页面刷新···
[2016-04-12 11:53:11] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:707]INFO:刷新完成！！！
[2016-04-12 11:53:26] test_Measure_WorkOrder.py [Test Case:tearDown] [line:714]INFO:该条用例执行完毕！！！
[2016-04-12 11:53:31] test_Measure_WorkOrder.py [Test Case:test_7search_ByMeasureState] [line:482]INFO:开始执行测试...
[2016-04-12 11:53:35] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:705]INFO:等待页面刷新···
[2016-04-12 11:53:46] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:707]INFO:刷新完成！！！
[2016-04-12 11:54:00] test_Measure_WorkOrder.py [Test Case:tearDown] [line:714]INFO:该条用例执行完毕！！！
[2016-04-12 11:54:05] test_Measure_WorkOrder.py [Test Case:test_8search_ByDressPerson] [line:507]INFO:开始执行测试...
[2016-04-12 11:54:09] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:705]INFO:等待页面刷新···
[2016-04-12 11:54:20] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:707]INFO:刷新完成！！！
[2016-04-12 11:54:34] test_Measure_WorkOrder.py [Test Case:tearDown] [line:714]INFO:该条用例执行完毕！！！
[2016-04-12 11:54:38] test_Measure_WorkOrder.py [Test Case:test_9search_ByPhone] [line:540]INFO:开始执行测试...
[2016-04-12 11:54:43] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:705]INFO:等待页面刷新···
[2016-04-12 11:54:53] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:707]INFO:刷新完成！！！
[2016-04-12 11:55:09] test_Measure_WorkOrder.py [Test Case:tearDown] [line:714]INFO:该条用例执行完毕！！！
[2016-04-12 11:55:13] test_Measure_WorkOrder.py [Test Case:test_amodify_WorkOrder] [line:571]INFO:开始执行测试...
[2016-04-12 11:55:17] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:705]INFO:等待页面刷新···
[2016-04-12 11:55:27] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:707]INFO:刷新完成！！！
[2016-04-12 11:55:53] test_Measure_WorkOrder.py [Test Case:tearDown] [line:714]INFO:该条用例执行完毕！！！
[2016-04-12 11:55:57] test_Measure_WorkOrder.py [Test Case:test_bmodify_MeasureState] [line:619]INFO:开始执行测试...
[2016-04-12 11:56:02] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:705]INFO:等待页面刷新···
[2016-04-12 11:56:12] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:707]INFO:刷新完成！！！
[2016-04-12 11:56:30] test_Measure_WorkOrder.py [Test Case:tearDown] [line:714]INFO:该条用例执行完毕！！！
[2016-04-12 11:56:35] test_Measure_WorkOrder.py [Test Case:test_cdelete_WorkOrder] [line:667]INFO:开始执行测试...
[2016-04-12 11:56:39] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:705]INFO:等待页面刷新···
[2016-04-12 11:56:49] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:707]INFO:刷新完成！！！
[2016-04-12 11:57:05] test_Measure_WorkOrder.py [Test Case:clickButton] [line:104]INFO:删除成功
[2016-04-12 11:57:05] test_Measure_WorkOrder.py [Test Case:tearDown] [line:714]INFO:该条用例执行完毕！！！
