[2016-04-08 09:55:51] test_Measure_WorkOrder.py [Test Case:test_Measure_WorkOrder] [line:35]INFO:~~~量体工单模块测试~~~
[2016-04-08 09:55:56] test_Measure_WorkOrder.py [Test Case:test_0add_WorkOrder] [line:149]INFO:开始执行测试...
[2016-04-08 09:56:00] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:56:10] isspublic.py [Test Case:isRefreshed] [line:60]ERROR:当前界面未刷新
[2016-04-08 09:56:10] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:56:17] test_Measure_WorkOrder.py [Test Case:test_0add_WorkOrder] [line:167]INFO:等待页面刷新···
[2016-04-08 09:56:17] test_Measure_WorkOrder.py [Test Case:test_0add_WorkOrder] [line:169]INFO:刷新完成！！！
[2016-04-08 09:56:41] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:56:46] test_Measure_WorkOrder.py [Test Case:test_1look_WorkOrder] [line:285]INFO:开始执行测试...
[2016-04-08 09:56:50] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:57:03] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:57:07] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:57:12] test_Measure_WorkOrder.py [Test Case:test_2search_ByWorkOrder] [line:333]INFO:开始执行测试...
[2016-04-08 09:57:15] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:57:26] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:57:39] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:57:43] test_Measure_WorkOrder.py [Test Case:test_3search_ByAppointmentTime] [line:347]INFO:开始执行测试...
[2016-04-08 09:57:47] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:57:57] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:58:12] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:58:17] test_Measure_WorkOrder.py [Test Case:test_4search_By_AppointmentStore] [line:405]INFO:开始执行测试
[2016-04-08 09:58:21] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:58:31] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:58:41] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
