[2016-04-12 14:03:36] test_AdvertisingTheme.py [Test Case:test_AdvertisingTheme] [line:33]INFO:~~~广告主题模块测试~~~
[2016-04-12 14:03:36] test_BOMManage.py [Test Case:test_BOMManager] [line:32]INFO:~~~BOM管理模块测试~~~
[2016-04-12 14:03:36] test_ColorGroup.py [Test Case:test_ColorGroup] [line:28]INFO:~~~颜色组模块测试~~~
[2016-04-12 14:03:36] test_ColorSetting.py [Test Case:test_ColorSetting] [line:30]INFO:~~~颜色配置模块测试~~~
[2016-04-12 14:03:36] test_CommodityFile.py [Test Case:test_CommodityFile] [line:25]INFO:~~~商品档案模块测试~~~
[2016-04-12 14:03:36] test_CommoditySort.py [Test Case:test_CommoditySort] [line:29]INFO:~~~商品类别模块测试~~~
[2016-04-12 14:03:36] test_MeasureItem.py [Test Case:test_MeasureItem] [line:30]INFO:~~~量体项目模块测试~~~
[2016-04-12 14:03:36] test_SizeSetting.py [Test Case:test_SizeSetting] [line:29]INFO:~~~尺码配置模块测试~~~
[2016-04-12 14:03:36] test_SKUSet.py [Test Case:test_SKUSet] [line:28]INFO:~~~SKU设置模块测试~~~
[2016-04-12 14:03:45] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:59]INFO:等待页面刷新···
[2016-04-12 14:03:47] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:62]INFO:刷新完成！！！
[2016-04-12 14:03:55] test_AdvertisingTheme.py [Test Case:clickButton] [line:135]INFO:保存成功！
[2016-04-12 14:03:55] test_AdvertisingTheme.py [Test Case:tearDown] [line:380]INFO:该条用例执行完毕！！！
[2016-04-12 14:04:04] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:59]INFO:等待页面刷新···
[2016-04-12 14:04:06] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:62]INFO:刷新完成！！！
[2016-04-12 14:04:26] test_AdvertisingTheme.py [Test Case:tearDown] [line:380]INFO:该条用例执行完毕！！！
[2016-04-12 14:04:36] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:59]INFO:等待页面刷新···
[2016-04-12 14:04:38] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:62]INFO:刷新完成！！！
[2016-04-12 14:04:41] test_AdvertisingTheme.py [Test Case:tearDown] [line:380]INFO:该条用例执行完毕！！！
[2016-04-12 14:04:51] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:59]INFO:等待页面刷新···
[2016-04-12 14:04:52] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:62]INFO:刷新完成！！！
[2016-04-12 14:04:58] test_AdvertisingTheme.py [Test Case:clickButton] [line:135]INFO:保存成功！
[2016-04-12 14:04:58] test_AdvertisingTheme.py [Test Case:tearDown] [line:380]INFO:该条用例执行完毕！！！
[2016-04-12 14:05:07] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:59]INFO:等待页面刷新···
[2016-04-12 14:05:09] test_AdvertisingTheme.py [Test Case:to_AdvertisingTheme] [line:62]INFO:刷新完成！！！
[2016-04-12 14:05:14] test_AdvertisingTheme.py [Test Case:clickButton] [line:135]INFO:保存成功！
[2016-04-12 14:05:14] test_AdvertisingTheme.py [Test Case:tearDown] [line:380]INFO:该条用例执行完毕！！！
[2016-04-12 14:05:24] test_BOMManage.py [Test Case:to_BOMManager] [line:58]INFO:等待页面刷新···
[2016-04-12 14:05:31] test_BOMManage.py [Test Case:to_BOMManager] [line:61]INFO:刷新完成！！！
[2016-04-12 14:05:55] test_BOMManage.py [Test Case:clickButton] [line:139]INFO:保存成功！
[2016-04-12 14:05:55] test_BOMManage.py [Test Case:tearDown] [line:337]INFO:该条用例执行完毕！！！
[2016-04-12 14:06:04] test_BOMManage.py [Test Case:to_BOMManager] [line:58]INFO:等待页面刷新···
[2016-04-12 14:06:10] test_BOMManage.py [Test Case:to_BOMManager] [line:61]INFO:刷新完成！！！
[2016-04-12 14:06:17] test_BOMManage.py [Test Case:tearDown] [line:337]INFO:该条用例执行完毕！！！
[2016-04-12 14:06:27] test_BOMManage.py [Test Case:to_BOMManager] [line:58]INFO:等待页面刷新···
[2016-04-12 14:06:32] test_BOMManage.py [Test Case:to_BOMManager] [line:61]INFO:刷新完成！！！
[2016-04-12 14:06:43] test_BOMManage.py [Test Case:tearDown] [line:337]INFO:该条用例执行完毕！！！
[2016-04-12 14:06:52] test_BOMManage.py [Test Case:to_BOMManager] [line:58]INFO:等待页面刷新···
[2016-04-12 14:06:57] test_BOMManage.py [Test Case:to_BOMManager] [line:61]INFO:刷新完成！！！
[2016-04-12 14:07:42] test_BOMManage.py [Test Case:tearDown] [line:337]INFO:该条用例执行完毕！！！
[2016-04-12 14:07:51] test_BOMManage.py [Test Case:to_BOMManager] [line:58]INFO:等待页面刷新···
[2016-04-12 14:07:55] test_BOMManage.py [Test Case:to_BOMManager] [line:61]INFO:刷新完成！！！
[2016-04-12 14:08:24] test_BOMManage.py [Test Case:clickButton] [line:139]INFO:保存成功！
[2016-04-12 14:08:24] test_BOMManage.py [Test Case:tearDown] [line:337]INFO:该条用例执行完毕！！！
[2016-04-12 14:08:33] test_BOMManage.py [Test Case:to_BOMManager] [line:58]INFO:等待页面刷新···
[2016-04-12 14:08:39] test_BOMManage.py [Test Case:to_BOMManager] [line:61]INFO:刷新完成！！！
[2016-04-12 14:08:43] test_BOMManage.py [Test Case:clickButton] [line:111]INFO:删除成功
[2016-04-12 14:08:43] test_BOMManage.py [Test Case:tearDown] [line:337]INFO:该条用例执行完毕！！！
