[2016-04-13 09:35:36] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:56]INFO:等待页面刷新···
[2016-04-13 09:35:37] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:59]INFO:刷新完成！！！
[2016-04-13 09:35:41] test_DefaultExpress.py [Test Case:clickButton] [line:130]INFO:保存成功！
[2016-04-13 09:35:41] test_DefaultExpress.py [Test Case:tearDown] [line:309]INFO:该条用例执行完毕！！！
[2016-04-13 09:35:50] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:56]INFO:等待页面刷新···
[2016-04-13 09:35:51] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:59]INFO:刷新完成！！！
[2016-04-13 09:35:54] test_DefaultExpress.py [Test Case:tearDown] [line:309]INFO:该条用例执行完毕！！！
[2016-04-13 09:36:03] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:56]INFO:等待页面刷新···
[2016-04-13 09:36:04] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:59]INFO:刷新完成！！！
[2016-04-13 09:36:06] test_DefaultExpress.py [Test Case:tearDown] [line:309]INFO:该条用例执行完毕！！！
[2016-04-13 09:36:16] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:56]INFO:等待页面刷新···
[2016-04-13 09:36:17] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:59]INFO:刷新完成！！！
[2016-04-13 09:36:21] test_DefaultExpress.py [Test Case:clickButton] [line:130]INFO:保存成功！
[2016-04-13 09:36:21] test_DefaultExpress.py [Test Case:tearDown] [line:309]INFO:该条用例执行完毕！！！
[2016-04-13 09:36:31] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:56]INFO:等待页面刷新···
[2016-04-13 09:36:32] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:59]INFO:刷新完成！！！
[2016-04-13 09:36:39] test_DefaultExpress.py [Test Case:clickButton] [line:130]INFO:保存成功！
[2016-04-13 09:36:41] test_DefaultExpress.py [Test Case:tearDown] [line:309]INFO:该条用例执行完毕！！！
[2016-04-13 09:36:50] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:56]INFO:等待页面刷新···
[2016-04-13 09:36:52] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:59]INFO:刷新完成！！！
[2016-04-13 09:36:57] test_DefaultExpress.py [Test Case:clickButton] [line:104]INFO:删除成功
[2016-04-13 09:36:57] test_DefaultExpress.py [Test Case:tearDown] [line:309]INFO:该条用例执行完毕！！！
[2016-04-13 09:37:02] test_Device.py [Test Case:test_0add_Device] [line:134]INFO:开始执行用例...
[2016-04-13 09:37:07] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-13 09:37:13] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-13 09:37:20] test_Device.py [Test Case:clickButton] [line:120]INFO:保存成功！
[2016-04-13 09:37:20] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-13 09:37:25] test_Device.py [Test Case:test_1search_byDeviceName] [line:180]INFO:开始执行用例...
[2016-04-13 09:37:29] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-13 09:37:32] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-13 09:37:40] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-13 09:37:44] test_Device.py [Test Case:test_2search_byDeviceCode] [line:260]INFO:开始执行用例...
[2016-04-13 09:37:49] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-13 09:37:52] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-13 09:38:00] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-13 09:38:10] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-13 09:38:13] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-13 09:38:18] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-13 09:38:22] test_Device.py [Test Case:test_4search_byDeviceType] [line:300]INFO:开始执行用例...
[2016-04-13 09:38:27] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-13 09:38:30] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-13 09:38:46] isspublic.py [Test Case:WebWait] [line:47]INFO:页面无法刷新！！！
[2016-04-13 09:38:46] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-13 09:38:51] test_Device.py [Test Case:test_5search_byOrgType] [line:325]INFO:开始执行用例...
[2016-04-13 09:38:56] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-13 09:39:00] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-13 09:39:07] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-13 09:39:11] test_Device.py [Test Case:test_6modify_Device] [line:348]INFO:开始执行用例...
[2016-04-13 09:39:16] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-13 09:39:19] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-13 09:39:30] test_Device.py [Test Case:clickButton] [line:120]INFO:保存成功！
[2016-04-13 09:39:38] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-13 09:39:42] test_Device.py [Test Case:test_7delete_Device] [line:390]INFO:开始执行用例...
[2016-04-13 09:39:47] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-13 09:39:50] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-13 09:39:59] test_Device.py [Test Case:clickButton] [line:95]INFO:删除成功
[2016-04-13 09:39:59] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-13 09:40:04] test_EmployeeInfo.py [Test Case:test_01add_Employee] [line:220]INFO:开始执行测试...
[2016-04-13 09:40:09] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-13 09:40:11] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-13 09:41:01] test_EmployeeInfo.py [Test Case:clickButton] [line:157]INFO:保存成功！
[2016-04-13 09:41:12] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-13 09:41:18] test_EmployeeInfo.py [Test Case:test_02add_EmployeeCopy] [line:350]INFO:开始执行测试...
[2016-04-13 09:41:22] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-13 09:41:24] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-13 09:41:42] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-13 09:41:55] test_EmployeeInfo.py [Test Case:clickButton] [line:134]INFO:删除成功
[2016-04-13 09:41:55] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-13 09:41:59] test_EmployeeInfo.py [Test Case:test_1search_ByEmployeeCode] [line:445]INFO:开始执行测试...
[2016-04-13 09:42:04] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-13 09:42:06] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-13 09:42:07] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-13 09:42:16] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-13 09:42:21] test_EmployeeInfo.py [Test Case:test_2search_ByEmployeeName] [line:458]INFO:开始执行测试...
[2016-04-13 09:42:26] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-13 09:42:27] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-13 09:42:34] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-13 09:42:39] test_EmployeeInfo.py [Test Case:test_3search_ByPhones] [line:480]INFO:开始执行测试...
[2016-04-13 09:42:44] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-13 09:42:45] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-13 09:42:51] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-13 09:42:55] test_EmployeeInfo.py [Test Case:test_4search_ByEmployeePosition] [line:500]INFO:开始执行测试...
[2016-04-13 09:43:00] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-13 09:43:01] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-13 09:43:12] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-13 09:43:17] test_EmployeeInfo.py [Test Case:test_5modify_EmployeeInfo] [line:532]INFO:开始执行测试...
[2016-04-13 09:43:22] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-13 09:43:23] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-13 09:43:24] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-13 09:43:43] test_EmployeeInfo.py [Test Case:clickButton] [line:157]INFO:保存成功！
[2016-04-13 09:43:43] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-13 09:43:50] test_EmployeeInfo.py [Test Case:test_5modify_EmployeeInfo] [line:564]INFO:等待页面刷新···
[2016-04-13 09:43:50] test_EmployeeInfo.py [Test Case:test_5modify_EmployeeInfo] [line:567]INFO:刷新完成！！！
[2016-04-13 09:43:51] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-13 09:43:56] test_EmployeeInfo.py [Test Case:test_6modify_LoginPasswdReset] [line:576]INFO:开始执行测试...
[2016-04-13 09:44:01] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-13 09:44:04] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-13 09:44:05] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-13 09:44:24] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-13 09:44:29] test_EmployeeInfo.py [Test Case:test_7modify_RoleAssignment] [line:614]INFO:开始执行测试...
[2016-04-13 09:44:33] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-13 09:44:35] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-13 09:44:37] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-13 09:44:46] test_EmployeeInfo.py [Test Case:test_7modify_RoleAssignment] [line:647]INFO:等待页面刷新···
[2016-04-13 09:44:47] test_EmployeeInfo.py [Test Case:test_7modify_RoleAssignment] [line:650]INFO:刷新完成！！！
[2016-04-13 09:45:00] test_EmployeeInfo.py [Test Case:test_7modify_RoleAssignment] [line:697]INFO:保存成功！
[2016-04-13 09:45:02] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-13 09:45:09] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-13 09:45:14] test_EmployeeInfo.py [Test Case:test_8modify_Storedistribution] [line:714]INFO:开始执行测试...
[2016-04-13 09:45:19] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-13 09:45:21] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-13 09:45:22] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-13 09:45:31] test_EmployeeInfo.py [Test Case:test_8modify_Storedistribution] [line:732]INFO:等待页面刷新···
[2016-04-13 09:45:31] test_EmployeeInfo.py [Test Case:test_8modify_Storedistribution] [line:735]INFO:刷新完成！！！
[2016-04-13 09:45:44] test_EmployeeInfo.py [Test Case:test_8modify_Storedistribution] [line:786]INFO:保存成功！
[2016-04-13 09:45:46] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-13 09:45:54] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
