[2016-04-12 17:20:08] test_EmployeeInfo.py [Test Case:test_EmployeeInfo] [line:43]INFO:~~~人员信息模块测试~~~
[2016-04-12 17:20:08] test_EmployeeInfo.py [Test Case:<module>] [line:836]INFO:test_EmployeeInfo start--
[2016-04-12 17:20:13] test_EmployeeInfo.py [Test Case:test_01add_Employee] [line:226]INFO:开始执行测试...
[2016-04-12 17:20:17] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:20:19] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 17:20:34] test_EmployeeInfo.py [Test Case:clickButton] [line:157]INFO:保存成功！
[2016-04-12 17:20:45] test_EmployeeInfo.py [Test Case:tearDown] [line:828]INFO:该条用例执行完毕！！！
[2016-04-12 17:20:50] test_EmployeeInfo.py [Test Case:test_02add_EmployeeCopy] [line:356]INFO:开始执行测试...
[2016-04-12 17:20:54] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:20:56] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 17:21:16] test_EmployeeInfo.py [Test Case:searchbycode] [line:432]INFO:开始执行测试...
[2016-04-12 17:21:26] test_EmployeeInfo.py [Test Case:clickButton] [line:134]INFO:删除成功
[2016-04-12 17:21:26] test_EmployeeInfo.py [Test Case:tearDown] [line:828]INFO:该条用例执行完毕！！！
[2016-04-12 17:21:31] test_EmployeeInfo.py [Test Case:test_1search_ByEmployeeCode] [line:451]INFO:开始执行测试...
[2016-04-12 17:21:36] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:21:38] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 17:21:39] test_EmployeeInfo.py [Test Case:searchbycode] [line:432]INFO:开始执行测试...
[2016-04-12 17:21:46] test_EmployeeInfo.py [Test Case:tearDown] [line:828]INFO:该条用例执行完毕！！！
[2016-04-12 17:21:51] test_EmployeeInfo.py [Test Case:test_2search_ByEmployeeName] [line:464]INFO:开始执行测试...
[2016-04-12 17:21:56] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:21:58] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 17:22:05] test_EmployeeInfo.py [Test Case:tearDown] [line:828]INFO:该条用例执行完毕！！！
[2016-04-12 17:22:10] test_EmployeeInfo.py [Test Case:test_3search_ByPhones] [line:486]INFO:开始执行测试...
[2016-04-12 17:22:15] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:22:16] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 17:22:20] test_EmployeeInfo.py [Test Case:tearDown] [line:828]INFO:该条用例执行完毕！！！
[2016-04-12 17:22:24] test_EmployeeInfo.py [Test Case:test_4search_ByEmployeePosition] [line:506]INFO:开始执行测试...
[2016-04-12 17:22:29] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:22:31] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 17:22:41] test_EmployeeInfo.py [Test Case:tearDown] [line:828]INFO:该条用例执行完毕！！！
[2016-04-12 17:22:45] test_EmployeeInfo.py [Test Case:test_5modify_EmployeeInfo] [line:538]INFO:开始执行测试...
[2016-04-12 17:22:50] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:22:52] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 17:22:53] test_EmployeeInfo.py [Test Case:searchbycode] [line:432]INFO:开始执行测试...
[2016-04-12 17:23:09] test_EmployeeInfo.py [Test Case:clickButton] [line:157]INFO:保存成功！
[2016-04-12 17:23:10] test_EmployeeInfo.py [Test Case:searchbycode] [line:432]INFO:开始执行测试...
[2016-04-12 17:23:17] test_EmployeeInfo.py [Test Case:test_5modify_EmployeeInfo] [line:570]INFO:等待页面刷新···
[2016-04-12 17:23:17] test_EmployeeInfo.py [Test Case:test_5modify_EmployeeInfo] [line:573]INFO:刷新完成！！！
[2016-04-12 17:23:18] test_EmployeeInfo.py [Test Case:tearDown] [line:828]INFO:该条用例执行完毕！！！
[2016-04-12 17:23:23] test_EmployeeInfo.py [Test Case:test_6modify_LoginPasswdReset] [line:582]INFO:开始执行测试...
[2016-04-12 17:23:28] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:23:29] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 17:23:30] test_EmployeeInfo.py [Test Case:searchbycode] [line:432]INFO:开始执行测试...
[2016-04-12 17:23:48] test_EmployeeInfo.py [Test Case:tearDown] [line:828]INFO:该条用例执行完毕！！！
[2016-04-12 17:23:53] test_EmployeeInfo.py [Test Case:test_7modify_RoleAssignment] [line:620]INFO:开始执行测试...
[2016-04-12 17:23:58] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:24:00] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
