[2016-04-12 10:35:59] test_EmployeeInfo.py [Test Case:test_EmployeeInfo] [line:43]INFO:~~~人员信息模块测试~~~
[2016-04-12 10:35:59] test_EmployeeInfo.py [Test Case:<module>] [line:827]INFO:test_EmployeeInfo start--
[2016-04-12 10:36:04] test_EmployeeInfo.py [Test Case:test_01add_Employee] [line:223]INFO:开始执行测试...
[2016-04-12 10:36:09] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 10:36:11] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 10:36:26] test_EmployeeInfo.py [Test Case:clickButton] [line:157]INFO:保存成功！
[2016-04-12 10:36:38] test_EmployeeInfo.py [Test Case:tearDown] [line:819]INFO:该条用例执行完毕！！！
[2016-04-12 10:36:43] test_EmployeeInfo.py [Test Case:test_02add_EmployeeCopy] [line:353]INFO:开始执行测试...
[2016-04-12 10:36:48] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 10:36:49] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 10:37:09] test_EmployeeInfo.py [Test Case:searchbycode] [line:429]INFO:开始执行测试...
[2016-04-12 10:37:19] test_EmployeeInfo.py [Test Case:clickButton] [line:134]INFO:删除成功
[2016-04-12 10:37:19] test_EmployeeInfo.py [Test Case:tearDown] [line:819]INFO:该条用例执行完毕！！！
[2016-04-12 10:37:25] test_EmployeeInfo.py [Test Case:test_1search_ByEmployeeCode] [line:448]INFO:开始执行测试...
[2016-04-12 10:37:30] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 10:37:31] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 10:37:32] test_EmployeeInfo.py [Test Case:searchbycode] [line:429]INFO:开始执行测试...
[2016-04-12 10:37:40] test_EmployeeInfo.py [Test Case:tearDown] [line:819]INFO:该条用例执行完毕！！！
[2016-04-12 10:37:45] test_EmployeeInfo.py [Test Case:test_2search_ByEmployeeName] [line:461]INFO:开始执行测试...
[2016-04-12 10:37:50] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 10:37:52] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 10:37:58] test_EmployeeInfo.py [Test Case:tearDown] [line:819]INFO:该条用例执行完毕！！！
[2016-04-12 10:38:03] test_EmployeeInfo.py [Test Case:test_3search_ByPhones] [line:483]INFO:开始执行测试...
[2016-04-12 10:38:08] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 10:38:10] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 10:38:16] test_EmployeeInfo.py [Test Case:tearDown] [line:819]INFO:该条用例执行完毕！！！
[2016-04-12 10:38:22] test_EmployeeInfo.py [Test Case:test_4search_ByEmployeePosition] [line:503]INFO:开始执行测试...
[2016-04-12 10:38:28] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 10:38:30] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 10:38:41] test_EmployeeInfo.py [Test Case:tearDown] [line:819]INFO:该条用例执行完毕！！！
[2016-04-12 10:38:46] test_EmployeeInfo.py [Test Case:test_5modify_EmployeeInfo] [line:535]INFO:开始执行测试...
[2016-04-12 10:38:51] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 10:38:53] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 10:38:54] test_EmployeeInfo.py [Test Case:searchbycode] [line:429]INFO:开始执行测试...
[2016-04-12 10:39:10] test_EmployeeInfo.py [Test Case:clickButton] [line:157]INFO:保存成功！
[2016-04-12 10:39:11] test_EmployeeInfo.py [Test Case:searchbycode] [line:429]INFO:开始执行测试...
[2016-04-12 10:39:18] test_EmployeeInfo.py [Test Case:test_5modify_EmployeeInfo] [line:567]INFO:等待页面刷新···
[2016-04-12 10:39:18] test_EmployeeInfo.py [Test Case:test_5modify_EmployeeInfo] [line:570]INFO:刷新完成！！！
[2016-04-12 10:39:19] test_EmployeeInfo.py [Test Case:tearDown] [line:819]INFO:该条用例执行完毕！！！
[2016-04-12 10:39:24] test_EmployeeInfo.py [Test Case:test_6modify_LoginPasswdReset] [line:579]INFO:开始执行测试...
[2016-04-12 10:39:29] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 10:39:30] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 10:39:31] test_EmployeeInfo.py [Test Case:searchbycode] [line:429]INFO:开始执行测试...
[2016-04-12 10:39:50] test_EmployeeInfo.py [Test Case:tearDown] [line:819]INFO:该条用例执行完毕！！！
[2016-04-12 10:39:56] test_EmployeeInfo.py [Test Case:test_7modify_RoleAssignment] [line:617]INFO:开始执行测试...
[2016-04-12 10:40:01] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 10:40:02] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 10:40:05] test_EmployeeInfo.py [Test Case:searchbycode] [line:429]INFO:开始执行测试...
[2016-04-12 10:40:14] test_EmployeeInfo.py [Test Case:test_7modify_RoleAssignment] [line:650]INFO:等待页面刷新···
[2016-04-12 10:40:15] test_EmployeeInfo.py [Test Case:test_7modify_RoleAssignment] [line:653]INFO:刷新完成！！！
[2016-04-12 10:40:27] test_EmployeeInfo.py [Test Case:test_7modify_RoleAssignment] [line:700]INFO:保存成功！
[2016-04-12 10:40:28] test_EmployeeInfo.py [Test Case:searchbycode] [line:429]INFO:开始执行测试...
[2016-04-12 10:40:28] test_EmployeeInfo.py [Test Case:tearDown] [line:819]INFO:该条用例执行完毕！！！
[2016-04-12 10:40:33] test_EmployeeInfo.py [Test Case:test_8modify_Storedistribution] [line:713]INFO:开始执行测试...
