[2016-04-05 15:08:48] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-05 15:08:49] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-05 15:08:50] test_EmployeeInfo.py [Test Case:searchbycode] [line:411]INFO:开始执行测试...
[2016-04-05 15:08:58] test_EmployeeInfo.py [Test Case:test_8modify_Storedistribution] [line:709]INFO:等待页面刷新···
[2016-04-05 15:08:58] test_EmployeeInfo.py [Test Case:test_8modify_Storedistribution] [line:712]INFO:刷新完成！！！
[2016-04-05 15:09:10] test_EmployeeInfo.py [Test Case:test_8modify_Storedistribution] [line:763]INFO:保存成功！
[2016-04-05 15:09:10] test_EmployeeInfo.py [Test Case:searchbycode] [line:411]INFO:开始执行测试...
[2016-04-05 15:09:15] test_EmployeeInfo.py [Test Case:tearDown] [line:798]INFO:该条用例执行完毕！！！
[2016-04-05 15:09:20] test_EmployeeInfo.py [Test Case:test_9adelete_Employee] [line:779]INFO:开始执行测试...
[2016-04-05 15:09:25] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-05 15:09:26] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-05 15:09:27] test_EmployeeInfo.py [Test Case:searchbycode] [line:411]INFO:开始执行测试...
[2016-04-05 15:09:36] test_EmployeeInfo.py [Test Case:clickButton] [line:133]INFO:删除成功
[2016-04-05 15:09:36] test_EmployeeInfo.py [Test Case:tearDown] [line:798]INFO:该条用例执行完毕！！！
