[2016-04-11 13:40:36] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:72]INFO:删除成功
[2016-04-11 13:40:37] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:40:41] test_OnlinePromotion.py [Test Case:test_amodify_Add_TimeConstraint] [line:633]INFO:开始执行用例...
[2016-04-11 13:40:47] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:40:48] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:41:00] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:548]INFO:等待界面刷新~~~
[2016-04-11 13:41:00] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:551]INFO:刷新完成！！！
[2016-04-11 13:41:01] test_OnlinePromotion.py [Test Case:test_amodify_Add_TimeConstraint] [line:643]INFO:等待界面刷新~~~
[2016-04-11 13:41:01] test_OnlinePromotion.py [Test Case:test_amodify_Add_TimeConstraint] [line:646]INFO:刷新完成！！！
[2016-04-11 13:41:05] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:80]INFO:保存成功！
[2016-04-11 13:41:07] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:41:12] test_OnlinePromotion.py [Test Case:test_bmodify_Delete_TimeConstraint] [line:672]INFO:开始执行用例...
[2016-04-11 13:41:17] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:41:18] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:41:30] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:548]INFO:等待界面刷新~~~
[2016-04-11 13:41:30] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:551]INFO:刷新完成！！！
[2016-04-11 13:41:31] test_OnlinePromotion.py [Test Case:test_bmodify_Delete_TimeConstraint] [line:683]INFO:等待界面刷新~~~
[2016-04-11 13:41:31] test_OnlinePromotion.py [Test Case:test_bmodify_Delete_TimeConstraint] [line:686]INFO:刷新完成！！！
[2016-04-11 13:41:33] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:72]INFO:删除成功
[2016-04-11 13:41:33] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:41:38] test_OnlinePromotion.py [Test Case:test_cmodify_AddPromotion_com] [line:703]INFO:开始执行用例...
[2016-04-11 13:41:43] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:41:44] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:41:56] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:548]INFO:等待界面刷新~~~
[2016-04-11 13:41:56] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:551]INFO:刷新完成！！！
[2016-04-11 13:41:57] test_OnlinePromotion.py [Test Case:test_cmodify_AddPromotion_com] [line:714]INFO:等待界面刷新~~~
[2016-04-11 13:41:57] test_OnlinePromotion.py [Test Case:test_cmodify_AddPromotion_com] [line:717]INFO:刷新完成！！！
[2016-04-11 13:42:01] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:80]INFO:保存成功！
[2016-04-11 13:42:08] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:80]INFO:保存成功！
[2016-04-11 13:42:10] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:42:15] test_OnlinePromotion.py [Test Case:test_dmodify_DeletePromotion_com] [line:778]INFO:开始执行用例...
[2016-04-11 13:42:20] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:42:21] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:42:33] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:548]INFO:等待界面刷新~~~
[2016-04-11 13:42:33] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:551]INFO:刷新完成！！！
[2016-04-11 13:42:34] test_OnlinePromotion.py [Test Case:test_dmodify_DeletePromotion_com] [line:788]INFO:等待界面刷新~~~
[2016-04-11 13:42:34] test_OnlinePromotion.py [Test Case:test_dmodify_DeletePromotion_com] [line:791]INFO:刷新完成！！！
[2016-04-11 13:42:38] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:72]INFO:删除成功
[2016-04-11 13:42:40] test_OnlinePromotion.py [Test Case:Delete_And_Add_Assert] [line:72]INFO:删除成功
[2016-04-11 13:42:40] test_OnlinePromotion.py [Test Case:tearDown] [line:1305]INFO:该条用例执行执行完毕！！！
[2016-04-11 13:42:45] test_OnlinePromotion.py [Test Case:test_emodify_AddRedemption_com] [line:825]INFO:开始执行用例...
[2016-04-11 13:42:50] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 13:42:51] test_OnlinePromotion.py [Test Case:to_OnlinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 13:43:03] test_OnlinePromotion.py [Test Case:edit_Promotion] [line:548]INFO:等待界面刷新~~~
