[2016-04-12 14:00:30] test_CommodityFile.py [Test Case:test_CommodityFile] [line:25]INFO:~~~商品档案模块测试~~~
[2016-04-12 14:00:30] test_CommodityFile.py [Test Case:<module>] [line:441]INFO:test_CommodityFile start~~~
[2016-04-12 14:00:35] test_CommodityFile.py [Test Case:test_0add_File] [line:152]INFO:开始执行用例...
[2016-04-12 14:00:40] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:00:42] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:00:52] test_CommodityFile.py [Test Case:tearDown] [line:433]INFO:该条用例执行完毕！！！
[2016-04-12 14:00:57] test_CommodityFile.py [Test Case:test_1search_ByCode] [line:224]INFO:开始执行用例...
[2016-04-12 14:01:02] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:01:04] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:01:08] test_CommodityFile.py [Test Case:searchbycode] [line:217]INFO:等待页面刷新···
[2016-04-12 14:01:08] test_CommodityFile.py [Test Case:searchbycode] [line:219]INFO:刷新完成！！！
[2016-04-12 14:01:09] test_CommodityFile.py [Test Case:tearDown] [line:433]INFO:该条用例执行完毕！！！
[2016-04-12 14:01:13] test_CommodityFile.py [Test Case:test_2search_ByName] [line:250]INFO:开始执行用例...
[2016-04-12 14:01:18] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:01:21] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:01:25] test_CommodityFile.py [Test Case:test_2search_ByName] [line:266]INFO:等待页面刷新···
[2016-04-12 14:01:25] test_CommodityFile.py [Test Case:test_2search_ByName] [line:268]INFO:刷新完成！！！
[2016-04-12 14:01:25] test_CommodityFile.py [Test Case:tearDown] [line:433]INFO:该条用例执行完毕！！！
[2016-04-12 14:01:30] test_CommodityFile.py [Test Case:test_3search_BySort] [line:280]INFO:开始执行用例...
[2016-04-12 14:01:35] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:01:38] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:01:44] test_CommodityFile.py [Test Case:test_3search_BySort] [line:297]INFO:等待页面刷新···
[2016-04-12 14:01:44] test_CommodityFile.py [Test Case:test_3search_BySort] [line:299]INFO:刷新完成！！！
[2016-04-12 14:01:45] test_CommodityFile.py [Test Case:tearDown] [line:433]INFO:该条用例执行完毕！！！
[2016-04-12 14:01:50] test_CommodityFile.py [Test Case:test_4view_Com] [line:313]INFO:开始执行用例...
[2016-04-12 14:01:55] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:01:57] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:02:00] test_CommodityFile.py [Test Case:test_4view_Com] [line:329]INFO:等待页面刷新···
[2016-04-12 14:02:00] test_CommodityFile.py [Test Case:test_4view_Com] [line:331]INFO:刷新完成！！！
[2016-04-12 14:02:05] test_CommodityFile.py [Test Case:tearDown] [line:433]INFO:该条用例执行完毕！！！
[2016-04-12 14:02:09] test_CommodityFile.py [Test Case:test_5modify_Com] [line:349]INFO:开始执行用例...
[2016-04-12 14:02:14] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:02:16] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:02:20] test_CommodityFile.py [Test Case:searchbycode] [line:217]INFO:等待页面刷新···
[2016-04-12 14:02:20] test_CommodityFile.py [Test Case:searchbycode] [line:219]INFO:刷新完成！！！
[2016-04-12 14:02:28] test_CommodityFile.py [Test Case:searchbycode] [line:217]INFO:等待页面刷新···
[2016-04-12 14:02:28] test_CommodityFile.py [Test Case:searchbycode] [line:219]INFO:刷新完成！！！
[2016-04-12 14:02:28] test_CommodityFile.py [Test Case:tearDown] [line:433]INFO:该条用例执行完毕！！！
[2016-04-12 14:02:33] test_CommodityFile.py [Test Case:test_6modify_ComStatus] [line:392]INFO:开始执行用例...
[2016-04-12 14:02:38] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:02:40] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:02:44] test_CommodityFile.py [Test Case:searchbycode] [line:217]INFO:等待页面刷新···
[2016-04-12 14:02:44] test_CommodityFile.py [Test Case:searchbycode] [line:219]INFO:刷新完成！！！
[2016-04-12 14:02:50] test_CommodityFile.py [Test Case:tearDown] [line:433]INFO:该条用例执行完毕！！！
