[2016-04-11 16:19:16] test_OfflinePromotion.py [Test Case:test_OfflinePromotion] [line:28]INFO:~~~线下促销模块测试~~~
[2016-04-11 16:19:16] test_OfflinePromotionRelation.py [Test Case:test_OfflinePromotionRelation] [line:24]INFO:~~~线下促销关系模块测试~~~
[2016-04-11 16:19:16] test_OnlinePromotion.py [Test Case:test_OnlinePromotion] [line:29]INFO:~~~线上促销模块测试~~~
[2016-04-11 16:19:16] test_OnlinePromotionRelation.py [Test Case:test_OlinePromotionRelation] [line:32]INFO:~~~线上促销关系模块测试~~~
[2016-04-11 16:19:25] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:19:26] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:19:42] test_OfflinePromotion.py [Test Case:clickButton] [line:158]INFO:保存成功！
[2016-04-11 16:19:47] test_OfflinePromotion.py [Test Case:test_0add_Promotion] [line:281]INFO:刷新~~~
[2016-04-11 16:19:49] test_OfflinePromotion.py [Test Case:tearDown] [line:1155]INFO:该条用例执行执行完毕！！！
[2016-04-11 16:19:58] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:19:59] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:20:22] test_OfflinePromotion.py [Test Case:tearDown] [line:1155]INFO:该条用例执行执行完毕！！！
[2016-04-11 16:20:32] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:20:33] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:20:43] test_OfflinePromotion.py [Test Case:tearDown] [line:1155]INFO:该条用例执行执行完毕！！！
[2016-04-11 16:20:53] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:20:54] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:20:58] test_OfflinePromotion.py [Test Case:tearDown] [line:1155]INFO:该条用例执行执行完毕！！！
[2016-04-11 16:21:08] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:21:09] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:21:18] test_OfflinePromotion.py [Test Case:tearDown] [line:1155]INFO:该条用例执行执行完毕！！！
[2016-04-11 16:21:27] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:21:28] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:21:33] test_OfflinePromotion.py [Test Case:tearDown] [line:1155]INFO:该条用例执行执行完毕！！！
[2016-04-11 16:21:45] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:21:46] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:21:51] test_OfflinePromotion.py [Test Case:tearDown] [line:1155]INFO:该条用例执行执行完毕！！！
[2016-04-11 16:22:01] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:22:02] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:22:15] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:550]INFO:等待界面刷新~~~
[2016-04-11 16:22:15] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:553]INFO:刷新完成！！！
[2016-04-11 16:22:15] test_OfflinePromotion.py [Test Case:tearDown] [line:1155]INFO:该条用例执行执行完毕！！！
[2016-04-11 16:22:24] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:22:25] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:22:38] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:550]INFO:等待界面刷新~~~
[2016-04-11 16:22:38] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:553]INFO:刷新完成！！！
[2016-04-11 16:22:39] test_OfflinePromotion.py [Test Case:test_8modify_AddRedemption_com] [line:578]INFO:等待界面刷新~~~
[2016-04-11 16:22:39] test_OfflinePromotion.py [Test Case:test_8modify_AddRedemption_com] [line:581]INFO:刷新完成！！！
[2016-04-11 16:22:42] test_OfflinePromotion.py [Test Case:Delete_And_Add_Assert] [line:81]INFO:保存成功！
[2016-04-11 16:22:50] test_OfflinePromotion.py [Test Case:Delete_And_Add_Assert] [line:81]INFO:保存成功！
[2016-04-11 16:22:51] test_OfflinePromotion.py [Test Case:tearDown] [line:1155]INFO:该条用例执行执行完毕！！！
[2016-04-11 16:23:01] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:23:02] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:23:15] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:550]INFO:等待界面刷新~~~
[2016-04-11 16:23:15] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:553]INFO:刷新完成！！！
[2016-04-11 16:23:27] test_OfflinePromotion.py [Test Case:Delete_And_Add_Assert] [line:81]INFO:保存成功！
[2016-04-11 16:23:29] test_OfflinePromotion.py [Test Case:tearDown] [line:1155]INFO:该条用例执行执行完毕！！！
[2016-04-11 16:23:38] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:23:39] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:23:52] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:550]INFO:等待界面刷新~~~
[2016-04-11 16:23:52] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:553]INFO:刷新完成！！！
[2016-04-11 16:23:54] test_OfflinePromotion.py [Test Case:Delete_And_Add_Assert] [line:73]INFO:删除成功
[2016-04-11 16:23:55] test_OfflinePromotion.py [Test Case:tearDown] [line:1155]INFO:该条用例执行执行完毕！！！
[2016-04-11 16:24:04] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:24:06] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:24:19] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:550]INFO:等待界面刷新~~~
[2016-04-11 16:24:19] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:553]INFO:刷新完成！！！
[2016-04-11 16:24:19] test_OfflinePromotion.py [Test Case:test_bmodify_DeleteRedemption_com] [line:744]INFO:等待界面刷新~~~
[2016-04-11 16:24:19] test_OfflinePromotion.py [Test Case:test_bmodify_DeleteRedemption_com] [line:747]INFO:刷新完成！！！
[2016-04-11 16:24:23] test_OfflinePromotion.py [Test Case:Delete_And_Add_Assert] [line:73]INFO:删除成功
[2016-04-11 16:24:26] test_OfflinePromotion.py [Test Case:Delete_And_Add_Assert] [line:73]INFO:删除成功
[2016-04-11 16:24:26] test_OfflinePromotion.py [Test Case:tearDown] [line:1155]INFO:该条用例执行执行完毕！！！
[2016-04-11 16:24:35] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:24:37] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:24:49] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:550]INFO:等待界面刷新~~~
[2016-04-11 16:24:49] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:553]INFO:刷新完成！！！
[2016-04-11 16:24:50] test_OfflinePromotion.py [Test Case:test_cmodify_AddSuitObject] [line:791]INFO:等待界面刷新~~~
[2016-04-11 16:24:50] test_OfflinePromotion.py [Test Case:test_cmodify_AddSuitObject] [line:794]INFO:刷新完成！！！
[2016-04-11 16:24:53] test_OfflinePromotion.py [Test Case:Delete_And_Add_Assert] [line:81]INFO:保存成功！
[2016-04-11 16:24:55] test_OfflinePromotion.py [Test Case:tearDown] [line:1155]INFO:该条用例执行执行完毕！！！
[2016-04-11 16:25:04] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:25:05] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:25:18] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:550]INFO:等待界面刷新~~~
[2016-04-11 16:25:18] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:553]INFO:刷新完成！！！
[2016-04-11 16:25:19] test_OfflinePromotion.py [Test Case:test_dmodify_DeleteSuitObject] [line:828]INFO:等待界面刷新~~~
[2016-04-11 16:25:19] test_OfflinePromotion.py [Test Case:test_dmodify_DeleteSuitObject] [line:831]INFO:刷新完成！！！
[2016-04-11 16:25:21] test_OfflinePromotion.py [Test Case:Delete_And_Add_Assert] [line:73]INFO:删除成功
[2016-04-11 16:25:21] test_OfflinePromotion.py [Test Case:tearDown] [line:1155]INFO:该条用例执行执行完毕！！！
[2016-04-11 16:25:31] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:25:32] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:25:45] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:550]INFO:等待界面刷新~~~
[2016-04-11 16:25:45] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:553]INFO:刷新完成！！！
[2016-04-11 16:25:46] test_OfflinePromotion.py [Test Case:test_emodify_Add_TimeConstraint] [line:858]INFO:等待界面刷新~~~
[2016-04-11 16:25:46] test_OfflinePromotion.py [Test Case:test_emodify_Add_TimeConstraint] [line:861]INFO:刷新完成！！！
[2016-04-11 16:25:48] test_OfflinePromotion.py [Test Case:Delete_And_Add_Assert] [line:81]INFO:保存成功！
[2016-04-11 16:25:50] test_OfflinePromotion.py [Test Case:tearDown] [line:1155]INFO:该条用例执行执行完毕！！！
[2016-04-11 16:25:59] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:54]INFO:等待页面刷新···
[2016-04-11 16:26:00] test_OfflinePromotion.py [Test Case:to_OfflinePromotion] [line:56]INFO:刷新完成！！！
[2016-04-11 16:26:13] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:550]INFO:等待界面刷新~~~
[2016-04-11 16:26:13] test_OfflinePromotion.py [Test Case:edit_Promotion] [line:553]INFO:刷新完成！！！
[2016-04-11 16:26:14] test_OfflinePromotion.py [Test Case:test_fmodify_Delete_TimeConstraint] [line:896]INFO:等待界面刷新~~~
[2016-04-11 16:26:14] test_OfflinePromotion.py [Test Case:test_fmodify_Delete_TimeConstraint] [line:899]INFO:刷新完成！！！
[2016-04-11 16:26:16] test_OfflinePromotion.py [Test Case:Delete_And_Add_Assert] [line:73]INFO:删除成功
