[2016-04-08 09:39:16] test_Measure_WorkOrder.py [Test Case:test_Measure_WorkOrder] [line:35]INFO:~~~量体工单模块测试~~~
[2016-04-08 09:39:20] test_Measure_WorkOrder.py [Test Case:test_0add_WorkOrder] [line:149]INFO:开始执行测试...
[2016-04-08 09:39:24] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:39:35] isspublic.py [Test Case:isRefreshed] [line:60]ERROR:当前界面未刷新
[2016-04-08 09:39:35] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:39:41] test_Measure_WorkOrder.py [Test Case:test_0add_WorkOrder] [line:167]INFO:等待页面刷新···
[2016-04-08 09:39:41] test_Measure_WorkOrder.py [Test Case:test_0add_WorkOrder] [line:169]INFO:刷新完成！！！
[2016-04-08 09:40:05] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:40:09] test_Measure_WorkOrder.py [Test Case:test_1look_WorkOrder] [line:285]INFO:开始执行测试...
[2016-04-08 09:40:13] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:40:23] isspublic.py [Test Case:isRefreshed] [line:60]ERROR:当前界面未刷新
[2016-04-08 09:40:23] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:40:27] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:40:32] test_Measure_WorkOrder.py [Test Case:test_2search_ByWorkOrder] [line:333]INFO:开始执行测试...
[2016-04-08 09:40:36] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:40:47] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:41:00] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:41:05] test_Measure_WorkOrder.py [Test Case:test_3search_ByAppointmentTime] [line:347]INFO:开始执行测试...
[2016-04-08 09:41:08] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:41:18] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:41:33] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:41:38] test_Measure_WorkOrder.py [Test Case:test_4search_By_AppointmentStore] [line:405]INFO:开始执行测试
[2016-04-08 09:41:42] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:41:53] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:42:07] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:42:12] test_Measure_WorkOrder.py [Test Case:test_5search_ByMeasureWay] [line:434]INFO:开始执行测试...
[2016-04-08 09:42:16] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:42:27] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:42:42] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:42:47] test_Measure_WorkOrder.py [Test Case:test_6search_ByMeasureMaster] [line:462]INFO:开始执行测试...
[2016-04-08 09:42:51] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:43:01] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:43:15] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:43:20] test_Measure_WorkOrder.py [Test Case:test_7search_ByMeasureState] [line:492]INFO:开始执行测试...
[2016-04-08 09:43:23] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:43:34] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:43:47] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:43:52] test_Measure_WorkOrder.py [Test Case:test_8search_ByDressPerson] [line:517]INFO:开始执行测试...
[2016-04-08 09:43:56] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:44:07] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:44:20] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:44:25] test_Measure_WorkOrder.py [Test Case:test_9search_ByPhone] [line:550]INFO:开始执行测试...
[2016-04-08 09:44:29] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:44:41] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
[2016-04-08 09:44:54] test_Measure_WorkOrder.py [Test Case:tearDown] [line:724]INFO:该条用例执行完毕！！！
[2016-04-08 09:44:59] test_Measure_WorkOrder.py [Test Case:test_amodify_WorkOrder] [line:581]INFO:开始执行测试...
[2016-04-08 09:45:03] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:715]INFO:等待页面刷新···
[2016-04-08 09:45:13] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:717]INFO:刷新完成！！！
