[2016-04-12 14:41:40] test_CommodityFile.py [Test Case:test_CommodityFile] [line:25]INFO:~~~商品档案模块测试~~~
[2016-04-12 14:41:40] test_CommodityFile.py [Test Case:<module>] [line:442]INFO:test_CommodityFile start~~~
[2016-04-12 14:41:45] test_CommodityFile.py [Test Case:test_0add_File] [line:153]INFO:开始执行用例...
[2016-04-12 14:41:50] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:41:52] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:42:02] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:42:06] test_CommodityFile.py [Test Case:test_1search_ByCode] [line:225]INFO:开始执行用例...
[2016-04-12 14:42:11] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:42:14] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:42:18] test_CommodityFile.py [Test Case:searchbycode] [line:218]INFO:等待页面刷新···
[2016-04-12 14:42:18] test_CommodityFile.py [Test Case:searchbycode] [line:220]INFO:刷新完成！！！
[2016-04-12 14:42:19] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:42:23] test_CommodityFile.py [Test Case:test_2search_ByName] [line:251]INFO:开始执行用例...
[2016-04-12 14:42:28] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:42:30] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:42:35] test_CommodityFile.py [Test Case:test_2search_ByName] [line:267]INFO:等待页面刷新···
[2016-04-12 14:42:35] test_CommodityFile.py [Test Case:test_2search_ByName] [line:269]INFO:刷新完成！！！
[2016-04-12 14:42:36] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:42:41] test_CommodityFile.py [Test Case:test_3search_BySort] [line:281]INFO:开始执行用例...
[2016-04-12 14:42:45] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:42:48] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:42:55] test_CommodityFile.py [Test Case:test_3search_BySort] [line:298]INFO:等待页面刷新···
[2016-04-12 14:42:56] test_CommodityFile.py [Test Case:test_3search_BySort] [line:300]INFO:刷新完成！！！
[2016-04-12 14:42:56] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:43:01] test_CommodityFile.py [Test Case:test_4view_Com] [line:314]INFO:开始执行用例...
[2016-04-12 14:43:08] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:43:10] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:43:14] test_CommodityFile.py [Test Case:test_4view_Com] [line:330]INFO:等待页面刷新···
[2016-04-12 14:43:14] test_CommodityFile.py [Test Case:test_4view_Com] [line:332]INFO:刷新完成！！！
[2016-04-12 14:43:18] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:43:23] test_CommodityFile.py [Test Case:test_5modify_Com] [line:350]INFO:开始执行用例...
[2016-04-12 14:43:28] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:43:30] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:43:34] test_CommodityFile.py [Test Case:searchbycode] [line:218]INFO:等待页面刷新···
[2016-04-12 14:43:34] test_CommodityFile.py [Test Case:searchbycode] [line:220]INFO:刷新完成！！！
[2016-04-12 14:43:43] test_CommodityFile.py [Test Case:searchbycode] [line:218]INFO:等待页面刷新···
[2016-04-12 14:43:43] test_CommodityFile.py [Test Case:searchbycode] [line:220]INFO:刷新完成！！！
[2016-04-12 14:43:44] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:43:48] test_CommodityFile.py [Test Case:test_6modify_ComStatus] [line:393]INFO:开始执行用例...
[2016-04-12 14:43:53] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:43:55] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:44:00] test_CommodityFile.py [Test Case:searchbycode] [line:218]INFO:等待页面刷新···
[2016-04-12 14:44:00] test_CommodityFile.py [Test Case:searchbycode] [line:220]INFO:刷新完成！！！
[2016-04-12 14:44:06] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
