[2016-04-12 14:36:36] test_CommodityFile.py [Test Case:test_CommodityFile] [line:25]INFO:~~~商品档案模块测试~~~
[2016-04-12 14:36:36] test_CommodityFile.py [Test Case:<module>] [line:442]INFO:test_CommodityFile start~~~
[2016-04-12 14:36:40] test_CommodityFile.py [Test Case:test_0add_File] [line:153]INFO:开始执行用例...
[2016-04-12 14:36:45] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:36:47] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:36:57] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:37:03] test_CommodityFile.py [Test Case:test_1search_ByCode] [line:225]INFO:开始执行用例...
[2016-04-12 14:37:07] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:37:10] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:37:27] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:37:32] test_CommodityFile.py [Test Case:test_2search_ByName] [line:251]INFO:开始执行用例...
[2016-04-12 14:37:37] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:37:39] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:38:10] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:38:15] test_CommodityFile.py [Test Case:test_3search_BySort] [line:281]INFO:开始执行用例...
[2016-04-12 14:38:20] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:38:22] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:38:57] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:39:02] test_CommodityFile.py [Test Case:test_4view_Com] [line:314]INFO:开始执行用例...
[2016-04-12 14:39:07] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:39:11] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:39:42] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:39:47] test_CommodityFile.py [Test Case:test_5modify_Com] [line:350]INFO:开始执行用例...
[2016-04-12 14:39:54] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:39:58] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:40:30] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
[2016-04-12 14:40:34] test_CommodityFile.py [Test Case:test_6modify_ComStatus] [line:393]INFO:开始执行用例...
[2016-04-12 14:40:40] test_CommodityFile.py [Test Case:to_CommodityFile] [line:50]INFO:等待页面刷新···
[2016-04-12 14:40:44] test_CommodityFile.py [Test Case:to_CommodityFile] [line:52]INFO:刷新完成！！！
[2016-04-12 14:41:16] test_CommodityFile.py [Test Case:tearDown] [line:434]INFO:该条用例执行完毕！！！
