[2016-04-09 16:18:56] test_EmployeeInfo.py [Test Case:test_EmployeeInfo] [line:43]INFO:~~~人员信息模块测试~~~
[2016-04-09 16:18:56] test_EmployeeInfo.py [Test Case:<module>] [line:807]INFO:test_EmployeeInfo start--
[2016-04-09 16:19:01] test_EmployeeInfo.py [Test Case:test_01add_Employee] [line:221]INFO:开始执行测试...
[2016-04-09 16:19:06] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-09 16:19:08] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-09 16:19:24] test_EmployeeInfo.py [Test Case:clickButton] [line:157]INFO:保存成功！
[2016-04-09 16:19:35] test_EmployeeInfo.py [Test Case:tearDown] [line:799]INFO:该条用例执行完毕！！！
[2016-04-09 16:19:40] test_EmployeeInfo.py [Test Case:test_02add_EmployeeCopy] [line:336]INFO:开始执行测试...
[2016-04-09 16:19:45] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-09 16:19:47] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-09 16:20:06] test_EmployeeInfo.py [Test Case:searchbycode] [line:412]INFO:开始执行测试...
[2016-04-09 16:20:17] test_EmployeeInfo.py [Test Case:clickButton] [line:134]INFO:删除成功
[2016-04-09 16:20:17] test_EmployeeInfo.py [Test Case:tearDown] [line:799]INFO:该条用例执行完毕！！！
[2016-04-09 16:20:22] test_EmployeeInfo.py [Test Case:test_1search_ByEmployeeCode] [line:431]INFO:开始执行测试...
[2016-04-09 16:20:26] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-09 16:20:28] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-09 16:20:29] test_EmployeeInfo.py [Test Case:searchbycode] [line:412]INFO:开始执行测试...
[2016-04-09 16:20:37] test_EmployeeInfo.py [Test Case:tearDown] [line:799]INFO:该条用例执行完毕！！！
[2016-04-09 16:20:42] test_EmployeeInfo.py [Test Case:test_2search_ByEmployeeName] [line:444]INFO:开始执行测试...
[2016-04-09 16:20:47] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-09 16:20:48] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-09 16:20:55] test_EmployeeInfo.py [Test Case:tearDown] [line:799]INFO:该条用例执行完毕！！！
[2016-04-09 16:21:00] test_EmployeeInfo.py [Test Case:test_3search_ByPhones] [line:466]INFO:开始执行测试...
[2016-04-09 16:21:05] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
