[2016-04-13 10:10:34] test_ConstantSetting.py [Test Case:test_ConstantSetting] [line:32]INFO:~~~常数配置模块测试~~~
[2016-04-13 10:10:34] test_CustomExpress.py [Test Case:test_CustomExpress] [line:28]INFO:~~~自定义快递模块测试~~~
[2016-04-13 10:10:34] test_DefaultExpress.py [Test Case:test_DefaultExpress] [line:31]INFO:~~~默认快递模块测试~~~
[2016-04-13 10:10:34] test_Device.py [Test Case:test_Device] [line:29]INFO:~~~设备信息模块测试~~~
[2016-04-13 10:10:34] test_EmployeeInfo.py [Test Case:test_EmployeeInfo] [line:43]INFO:~~~人员信息模块测试~~~
[2016-04-13 10:10:34] test_Organization.py [Test Case:test_Organization] [line:28]INFO:~~~销售组织管理模块测试~~~
[2016-04-13 10:10:34] test_RoleInfo.py [Test Case:test_RoleInfo] [line:31]INFO:~~~商品类别模块测试~~~
[2016-04-13 10:10:34] test_UserInformation.py [Test Case:test_UserInformation] [line:29]INFO:~~~用户信息模块测试~~~
[2016-04-13 10:10:44] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-13 10:10:45] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-13 10:10:50] test_ConstantSetting.py [Test Case:clickButton] [line:132]INFO:保存成功！
[2016-04-13 10:10:50] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-13 10:11:00] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-13 10:11:01] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-13 10:11:06] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-13 10:11:15] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-13 10:11:16] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-13 10:11:19] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-13 10:11:28] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-13 10:11:29] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-13 10:11:35] test_ConstantSetting.py [Test Case:clickButton] [line:132]INFO:保存成功！
[2016-04-13 10:11:35] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-13 10:11:44] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-13 10:11:45] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-13 10:11:53] test_ConstantSetting.py [Test Case:clickButton] [line:132]INFO:保存成功！
[2016-04-13 10:11:57] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-13 10:12:07] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-13 10:12:07] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-13 10:12:15] test_ConstantSetting.py [Test Case:clickButton] [line:106]INFO:删除成功
[2016-04-13 10:12:15] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-13 10:12:25] test_CustomExpress.py [Test Case:to_CustomExpress] [line:53]INFO:等待页面刷新···
[2016-04-13 10:12:28] test_CustomExpress.py [Test Case:to_CustomExpress] [line:56]INFO:刷新完成！！！
[2016-04-13 10:12:36] test_CustomExpress.py [Test Case:test_1search_byTemplateType] [line:293]INFO:等待页面刷新···
[2016-04-13 10:12:36] test_CustomExpress.py [Test Case:test_1search_byTemplateType] [line:296]INFO:刷新完成！！！
[2016-04-13 10:12:37] test_CustomExpress.py [Test Case:tearDown] [line:504]INFO:该条用例执行完毕！！！
[2016-04-13 10:12:47] test_CustomExpress.py [Test Case:to_CustomExpress] [line:53]INFO:等待页面刷新···
[2016-04-13 10:12:49] test_CustomExpress.py [Test Case:to_CustomExpress] [line:56]INFO:刷新完成！！！
[2016-04-13 10:12:59] test_CustomExpress.py [Test Case:test_2search_byExpressType] [line:367]INFO:等待页面刷新···
[2016-04-13 10:12:59] test_CustomExpress.py [Test Case:test_2search_byExpressType] [line:371]INFO:刷新完成！！！
