[2016-04-07 15:52:05] test_Measure_WorkOrder.py [Test Case:test_Measure_WorkOrder] [line:35]INFO:~~~量体工单模块测试~~~
[2016-04-07 15:52:09] test_Measure_WorkOrder.py [Test Case:test_0add_WorkOrder] [line:144]INFO:开始执行测试...
[2016-04-07 15:52:13] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:709]INFO:等待页面刷新···
[2016-04-07 15:52:23] isspublic.py [Test Case:isRefreshed] [line:60]ERROR:当前界面未刷新
[2016-04-07 15:52:23] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:711]INFO:刷新完成！！！
[2016-04-07 15:52:29] test_Measure_WorkOrder.py [Test Case:test_0add_WorkOrder] [line:162]INFO:等待页面刷新···
[2016-04-07 15:52:29] test_Measure_WorkOrder.py [Test Case:test_0add_WorkOrder] [line:164]INFO:刷新完成！！！
[2016-04-07 15:52:46] test_Measure_WorkOrder.py [Test Case:tearDown] [line:718]INFO:该条用例执行完毕！！！
[2016-04-07 15:52:50] test_Measure_WorkOrder.py [Test Case:test_1look_WorkOrder] [line:279]INFO:开始执行测试...
[2016-04-07 15:52:54] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:709]INFO:等待页面刷新···
[2016-04-07 15:53:03] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:711]INFO:刷新完成！！！
[2016-04-07 15:53:11] test_Measure_WorkOrder.py [Test Case:tearDown] [line:718]INFO:该条用例执行完毕！！！
[2016-04-07 15:53:16] test_Measure_WorkOrder.py [Test Case:test_2search_ByWorkOrder] [line:327]INFO:开始执行测试...
[2016-04-07 15:53:20] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:709]INFO:等待页面刷新···
[2016-04-07 15:53:32] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:711]INFO:刷新完成！！！
[2016-04-07 15:53:44] test_Measure_WorkOrder.py [Test Case:tearDown] [line:718]INFO:该条用例执行完毕！！！
[2016-04-07 15:53:48] test_Measure_WorkOrder.py [Test Case:test_3search_ByAppointmentTime] [line:341]INFO:开始执行测试...
[2016-04-07 15:53:52] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:709]INFO:等待页面刷新···
[2016-04-07 15:54:05] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:711]INFO:刷新完成！！！
[2016-04-07 15:54:20] test_Measure_WorkOrder.py [Test Case:tearDown] [line:718]INFO:该条用例执行完毕！！！
[2016-04-07 15:54:24] test_Measure_WorkOrder.py [Test Case:test_4search_By_AppointmentStore] [line:399]INFO:开始执行测试
[2016-04-07 15:54:28] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:709]INFO:等待页面刷新···
[2016-04-07 15:54:38] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:711]INFO:刷新完成！！！
[2016-04-07 15:54:51] test_Measure_WorkOrder.py [Test Case:tearDown] [line:718]INFO:该条用例执行完毕！！！
[2016-04-07 15:54:56] test_Measure_WorkOrder.py [Test Case:test_5search_ByMeasureWay] [line:428]INFO:开始执行测试...
[2016-04-07 15:54:59] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:709]INFO:等待页面刷新···
[2016-04-07 15:55:09] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:711]INFO:刷新完成！！！
[2016-04-07 15:55:24] test_Measure_WorkOrder.py [Test Case:tearDown] [line:718]INFO:该条用例执行完毕！！！
[2016-04-07 15:55:29] test_Measure_WorkOrder.py [Test Case:test_6search_ByMeasureMaster] [line:456]INFO:开始执行测试...
[2016-04-07 15:55:33] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:709]INFO:等待页面刷新···
[2016-04-07 15:55:42] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:711]INFO:刷新完成！！！
[2016-04-07 15:55:55] test_Measure_WorkOrder.py [Test Case:tearDown] [line:718]INFO:该条用例执行完毕！！！
[2016-04-07 15:56:00] test_Measure_WorkOrder.py [Test Case:test_7search_ByMeasureState] [line:486]INFO:开始执行测试...
[2016-04-07 15:56:04] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:709]INFO:等待页面刷新···
[2016-04-07 15:56:13] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:711]INFO:刷新完成！！！
[2016-04-07 15:56:27] test_Measure_WorkOrder.py [Test Case:tearDown] [line:718]INFO:该条用例执行完毕！！！
[2016-04-07 15:56:31] test_Measure_WorkOrder.py [Test Case:test_8search_ByDressPerson] [line:511]INFO:开始执行测试...
[2016-04-07 15:56:36] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:709]INFO:等待页面刷新···
[2016-04-07 15:56:46] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:711]INFO:刷新完成！！！
[2016-04-07 15:56:59] test_Measure_WorkOrder.py [Test Case:tearDown] [line:718]INFO:该条用例执行完毕！！！
[2016-04-07 15:57:03] test_Measure_WorkOrder.py [Test Case:test_9search_ByPhone] [line:544]INFO:开始执行测试...
[2016-04-07 15:57:07] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:709]INFO:等待页面刷新···
[2016-04-07 15:57:17] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:711]INFO:刷新完成！！！
[2016-04-07 15:57:30] test_Measure_WorkOrder.py [Test Case:tearDown] [line:718]INFO:该条用例执行完毕！！！
[2016-04-07 15:57:34] test_Measure_WorkOrder.py [Test Case:test_amodify_WorkOrder] [line:575]INFO:开始执行测试...
[2016-04-07 15:57:38] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:709]INFO:等待页面刷新···
[2016-04-07 15:57:48] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:711]INFO:刷新完成！！！
[2016-04-07 15:58:09] test_Measure_WorkOrder.py [Test Case:tearDown] [line:718]INFO:该条用例执行完毕！！！
[2016-04-07 15:58:14] test_Measure_WorkOrder.py [Test Case:test_bmodify_MeasureState] [line:623]INFO:开始执行测试...
[2016-04-07 15:58:19] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:709]INFO:等待页面刷新···
[2016-04-07 15:58:30] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:711]INFO:刷新完成！！！
[2016-04-07 15:58:47] test_Measure_WorkOrder.py [Test Case:tearDown] [line:718]INFO:该条用例执行完毕！！！
[2016-04-07 15:58:52] test_Measure_WorkOrder.py [Test Case:test_cdelete_WorkOrder] [line:671]INFO:开始执行测试...
[2016-04-07 15:58:56] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:709]INFO:等待页面刷新···
[2016-04-07 15:59:06] test_Measure_WorkOrder.py [Test Case:to_measureWorkOrder] [line:711]INFO:刷新完成！！！
[2016-04-07 15:59:20] test_Measure_WorkOrder.py [Test Case:clickButton] [line:102]INFO:删除成功
[2016-04-07 15:59:20] test_Measure_WorkOrder.py [Test Case:tearDown] [line:718]INFO:该条用例执行完毕！！！
