[2016-04-12 18:26:43] test_ConstantSetting.py [Test Case:test_ConstantSetting] [line:32]INFO:~~~常数配置模块测试~~~
[2016-04-12 18:26:43] test_CustomExpress.py [Test Case:test_CustomExpress] [line:26]INFO:~~~自定义快递模块测试~~~
[2016-04-12 18:26:43] test_DefaultExpress.py [Test Case:test_DefaultExpress] [line:31]INFO:~~~默认快递模块测试~~~
[2016-04-12 18:26:43] test_Device.py [Test Case:test_Device] [line:29]INFO:~~~设备信息模块测试~~~
[2016-04-12 18:26:43] test_EmployeeInfo.py [Test Case:test_EmployeeInfo] [line:43]INFO:~~~人员信息模块测试~~~
[2016-04-12 18:26:43] test_Organization.py [Test Case:test_Organization] [line:28]INFO:~~~销售组织管理模块测试~~~
[2016-04-12 18:26:43] test_RoleInfo.py [Test Case:test_RoleInfo] [line:31]INFO:~~~商品类别模块测试~~~
[2016-04-12 18:26:43] test_UserInformation.py [Test Case:test_UserInformation] [line:29]INFO:~~~用户信息模块测试~~~
[2016-04-12 18:26:52] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-12 18:26:53] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-12 18:26:58] test_ConstantSetting.py [Test Case:clickButton] [line:132]INFO:保存成功！
[2016-04-12 18:26:58] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-12 18:27:07] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-12 18:27:08] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-12 18:27:12] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-12 18:27:22] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-12 18:27:23] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-12 18:27:26] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-12 18:27:35] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-12 18:27:36] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-12 18:27:42] test_ConstantSetting.py [Test Case:clickButton] [line:132]INFO:保存成功！
[2016-04-12 18:27:42] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-12 18:27:51] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-12 18:27:52] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-12 18:28:00] test_ConstantSetting.py [Test Case:clickButton] [line:132]INFO:保存成功！
[2016-04-12 18:28:03] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-12 18:28:12] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:58]INFO:等待页面刷新···
[2016-04-12 18:28:13] test_ConstantSetting.py [Test Case:to_ConstantSetting] [line:61]INFO:刷新完成！！！
[2016-04-12 18:28:21] test_ConstantSetting.py [Test Case:clickButton] [line:106]INFO:删除成功
[2016-04-12 18:28:21] test_ConstantSetting.py [Test Case:tearDown] [line:326]INFO:该条用例执行完毕！！！
[2016-04-12 18:28:30] test_CustomExpress.py [Test Case:to_CustomExpress] [line:51]INFO:等待页面刷新···
[2016-04-12 18:28:33] test_CustomExpress.py [Test Case:to_CustomExpress] [line:54]INFO:刷新完成！！！
[2016-04-12 18:28:40] test_CustomExpress.py [Test Case:test_1search_byTemplateType] [line:289]INFO:等待页面刷新···
[2016-04-12 18:28:40] test_CustomExpress.py [Test Case:test_1search_byTemplateType] [line:292]INFO:刷新完成！！！
[2016-04-12 18:28:40] test_CustomExpress.py [Test Case:tearDown] [line:500]INFO:该条用例执行完毕！！！
[2016-04-12 18:28:50] test_CustomExpress.py [Test Case:to_CustomExpress] [line:51]INFO:等待页面刷新···
[2016-04-12 18:28:52] test_CustomExpress.py [Test Case:to_CustomExpress] [line:54]INFO:刷新完成！！！
[2016-04-12 18:29:00] test_CustomExpress.py [Test Case:test_2search_byExpressType] [line:363]INFO:等待页面刷新···
[2016-04-12 18:29:00] test_CustomExpress.py [Test Case:test_2search_byExpressType] [line:367]INFO:刷新完成！！！
[2016-04-12 18:29:01] test_CustomExpress.py [Test Case:tearDown] [line:500]INFO:该条用例执行完毕！！！
[2016-04-12 18:29:11] test_CustomExpress.py [Test Case:to_CustomExpress] [line:51]INFO:等待页面刷新···
[2016-04-12 18:29:14] test_CustomExpress.py [Test Case:to_CustomExpress] [line:54]INFO:刷新完成！！！
[2016-04-12 18:29:20] test_CustomExpress.py [Test Case:test_3search_byStoreName] [line:396]INFO:等待页面刷新···
[2016-04-12 18:29:20] test_CustomExpress.py [Test Case:test_3search_byStoreName] [line:400]INFO:刷新完成！！！
[2016-04-12 18:29:20] test_CustomExpress.py [Test Case:tearDown] [line:500]INFO:该条用例执行完毕！！！
[2016-04-12 18:29:30] test_CustomExpress.py [Test Case:to_CustomExpress] [line:51]INFO:等待页面刷新···
[2016-04-12 18:29:32] test_CustomExpress.py [Test Case:to_CustomExpress] [line:54]INFO:刷新完成！！！
[2016-04-12 18:29:38] test_CustomExpress.py [Test Case:clickButton] [line:131]INFO:保存成功！
[2016-04-12 18:29:38] test_CustomExpress.py [Test Case:tearDown] [line:500]INFO:该条用例执行完毕！！！
[2016-04-12 18:29:47] test_CustomExpress.py [Test Case:to_CustomExpress] [line:51]INFO:等待页面刷新···
[2016-04-12 18:29:49] test_CustomExpress.py [Test Case:to_CustomExpress] [line:54]INFO:刷新完成！！！
[2016-04-12 18:29:55] test_CustomExpress.py [Test Case:clickButton] [line:131]INFO:该快递编号已存在
[2016-04-12 18:29:55] test_CustomExpress.py [Test Case:tearDown] [line:500]INFO:该条用例执行完毕！！！
[2016-04-12 18:30:04] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:56]INFO:等待页面刷新···
[2016-04-12 18:30:05] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:59]INFO:刷新完成！！！
[2016-04-12 18:30:09] test_DefaultExpress.py [Test Case:clickButton] [line:130]INFO:保存成功！
[2016-04-12 18:30:09] test_DefaultExpress.py [Test Case:tearDown] [line:309]INFO:该条用例执行完毕！！！
[2016-04-12 18:30:18] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:56]INFO:等待页面刷新···
[2016-04-12 18:30:19] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:59]INFO:刷新完成！！！
[2016-04-12 18:30:22] test_DefaultExpress.py [Test Case:tearDown] [line:309]INFO:该条用例执行完毕！！！
[2016-04-12 18:30:31] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:56]INFO:等待页面刷新···
[2016-04-12 18:30:32] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:59]INFO:刷新完成！！！
[2016-04-12 18:30:34] test_DefaultExpress.py [Test Case:tearDown] [line:309]INFO:该条用例执行完毕！！！
[2016-04-12 18:30:44] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:56]INFO:等待页面刷新···
[2016-04-12 18:30:45] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:59]INFO:刷新完成！！！
[2016-04-12 18:30:50] test_DefaultExpress.py [Test Case:clickButton] [line:130]INFO:保存成功！
[2016-04-12 18:30:50] test_DefaultExpress.py [Test Case:tearDown] [line:309]INFO:该条用例执行完毕！！！
[2016-04-12 18:30:59] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:56]INFO:等待页面刷新···
[2016-04-12 18:31:00] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:59]INFO:刷新完成！！！
[2016-04-12 18:31:06] test_DefaultExpress.py [Test Case:clickButton] [line:130]INFO:保存成功！
[2016-04-12 18:31:09] test_DefaultExpress.py [Test Case:tearDown] [line:309]INFO:该条用例执行完毕！！！
[2016-04-12 18:31:18] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:56]INFO:等待页面刷新···
[2016-04-12 18:31:20] test_DefaultExpress.py [Test Case:to_DefaultExpress] [line:59]INFO:刷新完成！！！
[2016-04-12 18:31:25] test_DefaultExpress.py [Test Case:clickButton] [line:104]INFO:删除成功
[2016-04-12 18:31:25] test_DefaultExpress.py [Test Case:tearDown] [line:309]INFO:该条用例执行完毕！！！
[2016-04-12 18:31:29] test_Device.py [Test Case:test_0add_Device] [line:134]INFO:开始执行用例...
[2016-04-12 18:31:34] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-12 18:31:37] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-12 18:31:44] test_Device.py [Test Case:clickButton] [line:120]INFO:保存成功！
[2016-04-12 18:31:44] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-12 18:31:49] test_Device.py [Test Case:test_1search_byDeviceName] [line:180]INFO:开始执行用例...
[2016-04-12 18:31:54] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-12 18:31:57] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-12 18:32:03] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-12 18:32:08] test_Device.py [Test Case:test_2search_byDeviceCode] [line:260]INFO:开始执行用例...
[2016-04-12 18:32:13] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-12 18:32:16] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-12 18:32:22] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-12 18:32:31] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-12 18:32:34] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-12 18:32:39] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-12 18:32:44] test_Device.py [Test Case:test_4search_byDeviceType] [line:300]INFO:开始执行用例...
[2016-04-12 18:32:49] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-12 18:32:52] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-12 18:33:09] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-12 18:33:13] test_Device.py [Test Case:test_5search_byOrgType] [line:325]INFO:开始执行用例...
[2016-04-12 18:33:18] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-12 18:33:21] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-12 18:33:26] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-12 18:33:30] test_Device.py [Test Case:test_6modify_Device] [line:348]INFO:开始执行用例...
[2016-04-12 18:33:35] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-12 18:33:39] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-12 18:33:49] test_Device.py [Test Case:clickButton] [line:120]INFO:保存成功！
[2016-04-12 18:33:56] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-12 18:34:01] test_Device.py [Test Case:test_7delete_Device] [line:390]INFO:开始执行用例...
[2016-04-12 18:34:06] test_Device.py [Test Case:to_Device] [line:55]INFO:等待页面刷新···
[2016-04-12 18:34:08] test_Device.py [Test Case:to_Device] [line:58]INFO:刷新完成！！！
[2016-04-12 18:34:18] test_Device.py [Test Case:clickButton] [line:95]INFO:删除成功
[2016-04-12 18:34:18] test_Device.py [Test Case:tearDown] [line:413]INFO:该条用例执行完毕！！！
[2016-04-12 18:34:22] test_EmployeeInfo.py [Test Case:test_01add_Employee] [line:220]INFO:开始执行测试...
[2016-04-12 18:34:27] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 18:34:28] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 18:34:45] test_EmployeeInfo.py [Test Case:clickButton] [line:157]INFO:保存成功！
[2016-04-12 18:34:55] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-12 18:35:00] test_EmployeeInfo.py [Test Case:test_02add_EmployeeCopy] [line:350]INFO:开始执行测试...
[2016-04-12 18:35:05] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 18:35:06] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 18:35:25] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-12 18:35:35] test_EmployeeInfo.py [Test Case:clickButton] [line:134]INFO:删除成功
[2016-04-12 18:35:35] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-12 18:35:40] test_EmployeeInfo.py [Test Case:test_1search_ByEmployeeCode] [line:445]INFO:开始执行测试...
[2016-04-12 18:35:45] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 18:35:46] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 18:35:47] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-12 18:35:55] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-12 18:35:59] test_EmployeeInfo.py [Test Case:test_2search_ByEmployeeName] [line:458]INFO:开始执行测试...
[2016-04-12 18:36:04] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 18:36:06] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 18:36:13] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-12 18:36:17] test_EmployeeInfo.py [Test Case:test_3search_ByPhones] [line:480]INFO:开始执行测试...
[2016-04-12 18:36:22] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 18:36:24] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 18:36:27] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-12 18:36:32] test_EmployeeInfo.py [Test Case:test_4search_ByEmployeePosition] [line:500]INFO:开始执行测试...
[2016-04-12 18:36:37] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 18:36:39] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 18:36:49] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-12 18:36:53] test_EmployeeInfo.py [Test Case:test_5modify_EmployeeInfo] [line:532]INFO:开始执行测试...
[2016-04-12 18:36:58] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 18:37:00] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 18:37:01] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-12 18:37:16] test_EmployeeInfo.py [Test Case:clickButton] [line:157]INFO:保存成功！
[2016-04-12 18:37:17] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-12 18:37:25] test_EmployeeInfo.py [Test Case:test_5modify_EmployeeInfo] [line:564]INFO:等待页面刷新···
[2016-04-12 18:37:25] test_EmployeeInfo.py [Test Case:test_5modify_EmployeeInfo] [line:567]INFO:刷新完成！！！
[2016-04-12 18:37:26] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-12 18:37:30] test_EmployeeInfo.py [Test Case:test_6modify_LoginPasswdReset] [line:576]INFO:开始执行测试...
[2016-04-12 18:37:35] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 18:37:37] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 18:37:38] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-12 18:37:57] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-12 18:38:01] test_EmployeeInfo.py [Test Case:test_7modify_RoleAssignment] [line:614]INFO:开始执行测试...
[2016-04-12 18:38:06] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 18:38:07] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 18:38:10] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-12 18:38:19] test_EmployeeInfo.py [Test Case:test_7modify_RoleAssignment] [line:647]INFO:等待页面刷新···
[2016-04-12 18:38:20] test_EmployeeInfo.py [Test Case:test_7modify_RoleAssignment] [line:650]INFO:刷新完成！！！
[2016-04-12 18:38:32] test_EmployeeInfo.py [Test Case:test_7modify_RoleAssignment] [line:697]INFO:保存成功！
[2016-04-12 18:38:34] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-12 18:38:43] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-12 18:38:47] test_EmployeeInfo.py [Test Case:test_8modify_Storedistribution] [line:714]INFO:开始执行测试...
[2016-04-12 18:38:52] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 18:38:54] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 18:38:55] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-12 18:39:05] test_EmployeeInfo.py [Test Case:test_8modify_Storedistribution] [line:732]INFO:等待页面刷新···
[2016-04-12 18:39:05] test_EmployeeInfo.py [Test Case:test_8modify_Storedistribution] [line:735]INFO:刷新完成！！！
[2016-04-12 18:39:18] test_EmployeeInfo.py [Test Case:test_8modify_Storedistribution] [line:786]INFO:保存成功！
[2016-04-12 18:39:20] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
[2016-04-12 18:39:28] test_EmployeeInfo.py [Test Case:tearDown] [line:822]INFO:该条用例执行完毕！！！
[2016-04-12 18:39:32] test_EmployeeInfo.py [Test Case:test_9adelete_Employee] [line:803]INFO:开始执行测试...
[2016-04-12 18:39:37] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 18:39:39] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 18:39:40] test_EmployeeInfo.py [Test Case:searchbycode] [line:426]INFO:开始执行测试...
