[2016-04-12 17:08:41] test_EmployeeInfo.py [Test Case:test_EmployeeInfo] [line:43]INFO:~~~人员信息模块测试~~~
[2016-04-12 17:08:41] test_EmployeeInfo.py [Test Case:<module>] [line:836]INFO:test_EmployeeInfo start--
[2016-04-12 17:08:45] test_EmployeeInfo.py [Test Case:test_01add_Employee] [line:226]INFO:开始执行测试...
[2016-04-12 17:08:50] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:08:51] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 17:09:08] test_EmployeeInfo.py [Test Case:clickButton] [line:157]INFO:保存成功！
[2016-04-12 17:09:20] test_EmployeeInfo.py [Test Case:tearDown] [line:828]INFO:该条用例执行完毕！！！
[2016-04-12 17:09:25] test_EmployeeInfo.py [Test Case:test_02add_EmployeeCopy] [line:356]INFO:开始执行测试...
[2016-04-12 17:09:30] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:09:32] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 17:09:51] test_EmployeeInfo.py [Test Case:searchbycode] [line:432]INFO:开始执行测试...
[2016-04-12 17:10:01] test_EmployeeInfo.py [Test Case:clickButton] [line:134]INFO:删除成功
[2016-04-12 17:10:01] test_EmployeeInfo.py [Test Case:tearDown] [line:828]INFO:该条用例执行完毕！！！
[2016-04-12 17:10:06] test_EmployeeInfo.py [Test Case:test_1search_ByEmployeeCode] [line:451]INFO:开始执行测试...
[2016-04-12 17:10:11] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:10:13] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 17:10:14] test_EmployeeInfo.py [Test Case:searchbycode] [line:432]INFO:开始执行测试...
[2016-04-12 17:10:21] test_EmployeeInfo.py [Test Case:tearDown] [line:828]INFO:该条用例执行完毕！！！
[2016-04-12 17:10:26] test_EmployeeInfo.py [Test Case:test_2search_ByEmployeeName] [line:464]INFO:开始执行测试...
[2016-04-12 17:10:31] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:10:33] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 17:10:41] test_EmployeeInfo.py [Test Case:tearDown] [line:828]INFO:该条用例执行完毕！！！
[2016-04-12 17:10:45] test_EmployeeInfo.py [Test Case:test_3search_ByPhones] [line:486]INFO:开始执行测试...
[2016-04-12 17:10:50] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:10:51] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 17:10:57] test_EmployeeInfo.py [Test Case:tearDown] [line:828]INFO:该条用例执行完毕！！！
[2016-04-12 17:11:01] test_EmployeeInfo.py [Test Case:test_4search_ByEmployeePosition] [line:506]INFO:开始执行测试...
[2016-04-12 17:11:06] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:11:08] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 17:11:17] test_EmployeeInfo.py [Test Case:tearDown] [line:828]INFO:该条用例执行完毕！！！
[2016-04-12 17:11:21] test_EmployeeInfo.py [Test Case:test_5modify_EmployeeInfo] [line:538]INFO:开始执行测试...
[2016-04-12 17:11:26] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:67]INFO:等待页面刷新···
[2016-04-12 17:11:28] test_EmployeeInfo.py [Test Case:to_EmployeeInformation] [line:70]INFO:刷新完成！！！
[2016-04-12 17:11:29] test_EmployeeInfo.py [Test Case:searchbycode] [line:432]INFO:开始执行测试...
[2016-04-12 17:11:44] test_EmployeeInfo.py [Test Case:clickButton] [line:157]INFO:保存成功！
[2016-04-12 17:11:45] test_EmployeeInfo.py [Test Case:searchbycode] [line:432]INFO:开始执行测试...
[2016-04-12 17:11:52] test_EmployeeInfo.py [Test Case:test_5modify_EmployeeInfo] [line:570]INFO:等待页面刷新···
